drug_id,function_description,components,label
TCMF6195,咳嗽,桔梗，荆芥，百部，紫菀，前胡，款冬花，麻黄，陈皮，苦杏仁，防风,白前
TCMF8897,感冒发热，头痛，咳嗽，咽痛。,黄芩，南板蓝根，金银花，柴胡，甘草,石膏
TCMF5816,"积滞, 便秘",大黄，三棱，莪术，枳实,牵牛子
TCMF11385,肝肾不足，腰膝酸软，筋骨无力，头晕耳鸣。,金樱子，桑寄生，大枣，骨碎补，狗脊,鸡血藤
TCMF11550,月经不调，痛经，产后腹痛，血虚头晕。,丹参，益母草，当归，川芎，赤芍，茯苓，白术，木香，香附，肉桂，红参，甘草，熟地黄，续断，牛膝，蒲黄，延胡索，地骨皮，莱菔子,小茴香
TCMF9762,慢性肾功能衰竭，尿毒症。,黄芪，党参，赤芍，土茯苓，重楼，大黄,丹参
TCMF11550,月经不调，痛经，产后腹痛，血虚头晕。,丹参，益母草，当归，赤芍，茯苓，白术，木香，香附，小茴香，肉桂，红参，甘草，熟地黄，续断，牛膝，蒲黄，延胡索，地骨皮，莱菔子,川芎
TCMF9885,风寒湿痹，关节疼痛，肢体麻木，屈伸不利。,天麻，马钱子，川乌，当归，地龙，全蝎,蜈蚣
TCMF6299,"咳嗽, 喘病",甘草，半夏，马兜铃，青果，紫苏子，百合，桑白皮，川贝母，瓜蒌子，白果，款冬花，麻黄,陈皮
TCMF10918,小儿感冒，发热，咳嗽，食欲不振。,炙黄芪，白术，芦根，防风，山药，鸡内金,茯苓
TCMF7510,"治上消者, 宜润其肺, 兼清其胃, 二冬汤主之",天冬，麦冬，天花粉，黄芩，人参，荷叶，甘草,知母
TCMF10788,痔疮，肛裂，便血,黄芩，槐角，当归，防风，阿胶,枳壳
TCMF10195,眩晕，头痛，恶心呕吐，胸闷不适。,丹参，茯苓，白术，砂仁，天麻，白芍，木瓜，白芷，当归，石菖蒲，枳实,姜半夏
TCMF1272,"太阴温病; 手厥阴暑温; 阳明温病, 斑疹, 温痘, 温疹, 温毒",牛黄，水牛角，麝香，珍珠，雄黄，黄连，黄芩，栀子，郁金，冰片,朱砂
TCMF7677,疝气,小茴香，木香，槟榔，川楝子，橘核，荔枝核，肉桂，炮姜，延胡索,吴茱萸
TCMF7353,风邪头痛，或有恶寒、发热、鼻塞。,川芎，羌活，白芷，荆芥，薄荷，细辛，甘草,防风
TCMFx6602,"清热解毒, 利咽消肿。用于风热外感, 风热乳蛾。证见发热, 微恶风, 头痛, 鼻塞流涕, 咽红而痛或咽喉干燥灼痛",金银花，连翘，板蓝根,穿心莲
TCMF8648,热病高热，昏迷，惊厥，中风痰迷，咽喉肿痛，口舌生疮，牙龈肿痛，大便燥结。,牛黄，黄芩，石膏，大黄，冰片，雄黄，甘草,黄连
TCMF6411,"腹泻, 痢疾, 脱肛, 腹胀, 腹痛",人参，白术，甘草，陈皮，肉豆蔻，白芍，罂粟壳，诃子,茯苓
TCMFx5111,"咳嗽, 便秘",黄芩，大黄，知母，天花粉，麦冬，化橘红，苦杏仁，桑白皮，浙贝母，桔梗，枳壳，甘草，前胡,百部
TCMF9714,肝郁脾虚，胸胁胀痛，食欲不振，神疲乏力。,柴胡，黄芩，郁金，黄芪，茯苓，白芍，当归，麦冬，五味子，枳壳，甘草,党参
TCMF7092,气血两虚证、用于肿瘤放、化疗引起的白细胞减少，免疫功能低下，食欲不振，神疲乏力，头晕气短等。,黄芪，当归，白术，茯苓，鸡血藤，墨旱莲，灵芝，天花粉,女贞子
TCMFx328,"咽喉肿痛, 牙龈肿痛, 口舌生疮, 目赤肿痛",人工牛黄，雄黄，石膏，大黄，黄芩，桔梗，甘草,冰片
TCMFx234,"小儿肺卫热盛所致的喉痹, 乳蛾, 症见咽喉肿痛, 咳嗽痰盛, 口舌糜烂; 急性咽炎, 急性扁桃腺炎见上述证候者",金银花，射干，金果榄，桔梗，麦冬，人工牛黄，冰片,玄参
TCMF8612,肾阳不足，腰膝酸软，畏寒肢冷，阳痿早泄，宫寒不孕。,附子，肉桂，骨碎补，续断，熟地黄，菟丝子，肉苁蓉，甘草，麝香,牛膝
TCMFx3055,腹胀,沉香，砂仁，苍术，枳实，麦芽，青皮，紫苏叶，细辛，川芎，桔梗，茯苓，甘草，栀子，厚朴，香附，木香，山楂，陈皮，广藿香，荆芥，白芷，防风，薄荷，半夏，葛根,白芍
TCMF9656,气血两虚，头晕目眩，心悸失眠，食欲不振，四肢乏力。,人参，党参，太子参，当归，黄精，玉竹，枸杞子，女贞子，茯苓，谷芽，何首乌，五味子，陈皮，阿胶,熟地黄
TCMFx3055,腹胀,沉香，砂仁，苍术，枳实，麦芽，青皮，紫苏叶，细辛，川芎，茯苓，甘草，栀子，厚朴，香附，木香，山楂，陈皮，广藿香，荆芥，白芷，防风，薄荷，半夏，白芍，葛根,桔梗
TCMF8148,清热解毒，用于火热毒邪引起的急性咽喉炎、扁桃体炎、口腔炎等。,黄芩，功劳木，黄柏,栀子
TCMF12219,瘀血阻滞，肢体麻木，关节疼痛，跌打损伤。,郁金，红花，乳香，没药，桃仁，当归，皂角刺，木鳖子，莪术，大黄，秦艽，马钱子，香附，黄柏，土鳖虫，青黛，雄黄,玄明粉
TCMF10945,肾虚腰痛，遗精早泄，阳痿不育，月经不调，带下清稀。,金樱子，狗脊，淫羊藿，菟丝子,女贞子
TCMF8055,肝郁气滞，胸胁胀痛，月经不调，痛经。,柴胡，丹参，川芎，黄芪，红花，桃仁，白芍，赤芍，香附,当归
TCMF9293,感冒发热，咽喉肿痛，头痛目赤，口干舌燥。,夏枯草，蒲公英，牡丹皮，连翘，金银花，柴胡，石膏,金钱草
TCMF10082,气虚体弱，免疫力低下，疲劳乏力，久病虚损。,黄芪，西洋参，人参,冬虫夏草
TCMF12042,瘿瘤，瘰疬，甲状腺肿大，淋巴结肿大。,黄芩，夏枯草，昆布，玄参，陈皮，枳壳，海螵蛸，蛤壳,海藻
TCMF12299,清热解毒，用于治疗感冒发热，咽喉肿痛，口舌生疮，痈肿疮疖。,重楼，黄芩，黄连，黄柏，栀子，金银花，连翘，大青叶，甘草,板蓝根
TCMF12260,咳嗽，痰多，气喘，胸闷。,川贝母，知母，黄芩，茯苓，瓜蒌子，枳实，陈皮，桑白皮，枳壳，石膏,五味子
TCMF8096,肝胆湿热，心烦失眠，口苦咽干，胁痛,郁金，茵陈，栀子，冰片,黄柏
TCMF8793,乳痈，乳癖，乳汁不通。,黄芪，丝瓜络，漏芦，当归，王不留行,白芍
TCMF7496,风湿痹痛，肢体麻木，关节屈伸不利。,羌活，独活，秦艽，海风藤，川芎，当归，川牛膝，防己，苍术，薏苡仁，炙甘草,桂枝
TCMF10099,肾虚腰痛，阳痿早泄，神疲乏力，腰膝酸软。,黄精，黄芪，杜仲，牛膝，茯苓，肉苁蓉，淫羊藿，白芍，菟丝子，枸杞子，蛇床子，山药，红参，土鳖虫，牡蛎，鹿茸,泽泻
TCMF9804,清热解毒，镇惊安神。用于热病高热，烦躁不安，神昏谵语，惊风抽搐，斑疹吐衄，尿赤便秘。,黄芩，黄柏，栀子，大黄，石膏，朱砂，冰片，人工牛黄，甘草,滑石
TCMF9018,肝肾阴虚，目涩畏光，视物模糊，迎风流泪。,熟地黄，山茱萸，山药，茯苓，泽泻，枸杞子，菊花，白芍，当归，石决明，枳壳,牡丹皮
TCMF9449,乳腺增生，乳癖，乳房胀痛。,夏枯草，姜黄，鳖甲,川芎
TCMF9493,心悸失眠，胸闷气短，心神不宁，癫痫惊风。,安息香，沉香，檀香，预知子，天竺黄，红花，乳香，诃子,毛诃子
TCMF1333,"风湿关节, 肌肉痛, 扭伤",草乌，川乌，乳香，没药，马钱子，肉桂，荆芥，防风，老鹳草，香加皮，积雪草，骨碎补，白芷，山柰,丁香
TCMF7652,肝郁气滞，胸腹胀痛，痛经。,香附，木香，延胡索，甘草,乌药
TCMF8639,气阴两虚，心悸失眠，头晕目眩，腰膝酸软。,麦冬，知母，丹参，粉葛，苦参，茯苓，佩兰，何首乌，黄连，地骨皮，山茱萸，荔枝核，淫羊藿，人参,黄精
TCMF9370,感冒发热，头痛，咳嗽，咽痛。,忍冬藤，连翘，青蒿，菊花，板蓝根，甘草,大青叶
TCMFx3262,痹病,马钱子，麻黄，当归，苍术，续断，桃仁，红花，没药，千年健，地枫皮，羌活，地龙，桂枝，穿山甲，木瓜，牛膝,乳香
TCMF10790,痔疮出血，肛裂疼痛，便秘。,槐花，白茅根，紫珠叶，白芍，金银花，火麻仁，三七,地榆
TCMFx4069,痹病,附子，川乌，黄芪，桂枝，麻黄，白术，当归，白芍，威灵仙，细辛，甘草,木瓜
TCMF11259,肾虚遗精，腰膝酸软，头晕耳鸣，失眠多梦。,熟地黄，山茱萸，山药，茯苓，芡实，知母，黄柏，牡丹皮，锁阳，远志，牡蛎,金樱子
TCMF12463,局部肿胀，疼痛拒按，皮下瘀斑，活动受限,大黄，莪术，三棱，三七，川芎，郁金，土鳖虫，徐长卿，天南星，木香，泽兰，降香，朱砂根，蒲黄，蜂蜜,红花
TCMF7224,用于肝肾不足所致的干涩不舒、单眼复视、腰膝痠软、或轻度视力下降；早、中期老年性白内障见上述症状者,熟地黄，菟丝子，枸杞子，肉苁蓉，山茱萸，白芍，川芎，黄精，黄芪，党参，甘草，青葙子，蕤仁，密蒙花，蔓荆子，菊花，石菖蒲，车前子，关黄柏，升麻，葛根,决明子
TCMF11272,肝肾不足，腰膝酸软，头晕耳鸣，遗精盗汗。,麦冬，天冬，熟地黄，续断，人参，五味子，干姜，陈皮，黄柏，牡蛎,牛膝
TCMF9816,肾虚精亏，腰膝酸软，头晕耳鸣，失眠多梦。,鹿茸,三七
TCMF7891,肾虚腰痛，头晕耳鸣，遗精早泄，失眠健忘。,熟地黄，何首乌，杜仲，肉苁蓉，淫羊藿，麦冬，天冬，茯苓，党参，当归，覆盆子，五味子,枸杞子
TCMF11705,气虚咳嗽，哮喘，肺气肿，慢性支气管炎。,黄芪，党参，白术，炙甘草，麦冬，天冬，麻黄，五味子，苦杏仁，枸杞子，熟地黄，洋金花，葶苈子，白果，远志，枳实，地龙，蛤蚧，蟾酥,紫菀
TCMF259,感冒,连翘，淡豆豉，薄荷，荆芥，栀子，大黄，青蒿，柴胡，甘草，槟榔，厚朴，黄芩，半夏,赤芍
TCMF5707,"哮病, 喘病, 咳嗽, 肺胀",芥子，延胡索，甘遂，细辛,生姜
TCMFx5886,"积滞, 急惊风",僵蚕，天麻，全蝎，黄连，大黄，胆南星，浙贝母，天竺黄，半夏，橘红，滑石，人工牛黄，朱砂，麝香，冰片,钩藤
TCMF9449,乳腺增生，乳癖，乳房胀痛。,夏枯草，川芎，鳖甲,姜黄
TCMF12297,心悸失眠，神志不清，头晕目眩，消化不良。,肉豆蔻，余甘子，姜黄，乳香，大蒜，广枣，诃子，丁香,沉香
TCMF8783,湿热下注所致的带下病、阴痒，症见带下量多、色黄、质稠、臭秽，阴部瘙痒；滴虫性阴道炎、霉菌性阴道炎、非特异性阴道炎见上述证候者。,栀子，黄柏,苦参
TCMF8603,清热解毒，消肿止痛。用于治疗疮疡肿毒，丹毒，蜂窝组织炎，乳腺炎等。,黄芩，紫花地丁，蒲公英，野菊花，大黄，赤芍，柴胡，当归，大青叶,连翘
TCMF10879,热毒蕴结，咽喉肿痛，口舌生疮，牙龈肿痛。,西瓜霜，牛黄，青黛，珍珠,冰片
TCMF11038,痰热咳嗽，胸膈满闷，咽痛声哑。,知母，黄芩，天花粉，前胡，白术，大黄，枳实，法半夏，陈皮，黄柏，防风，冰片，甘草,桔梗
TCMF8683,肾虚腰痛，阳痿早泄，神疲乏力，腰膝酸软。,韭菜子，淫羊藿，制何首乌，熟地黄，当归，丹参，肉苁蓉，蛇床子，人参，川牛膝，九香虫，龟甲胶,锁阳
TCMF7628,肝气郁结，胸闷胁痛，乳房胀痛，月经不调。,白芍，当归，茯苓，白术，香附，郁金，川芎，甘草,柴胡
TCMF9807,风寒感冒，头痛发热，鼻塞流涕，咳嗽痰多，肢体酸痛。,荆芥，紫苏叶，防风，香附，连翘，大青叶，桔梗，炙甘草,陈皮
TCMF10342,高热，惊厥，神昏，中风，偏瘫，高血压，头痛，眩晕。,穿心莲，人工牛黄，沉香，石膏，芒硝，滑石，冰片，磁石,栀子
TCMF11856,肝郁气滞，胸胁胀痛，胃脘疼痛，食欲不振。,柴胡，香附，白芍，延胡索，豆蔻，厚朴，檀香，陈皮，青皮，枳壳，牵牛子，槟榔，鸡内金,香橼
TCMF12266,咳嗽痰多，胸闷气促，咽喉肿痛。,百部，川贝母，麦冬，天冬，知母，紫苏叶，炙甘草，桔梗，款冬花，木香，大黄，马兜铃，密蒙花，五味子，苦杏仁，桑叶，葶苈子，姜半夏，玄参,前胡
TCMF8640,阴虚内热，口干咽燥，心悸失眠，头晕耳鸣。,黄精，麦冬，知母，丹参，葛根，苦参，茯苓，苍术，佩兰，何首乌，黄连，地骨皮，山茱萸，荔枝核，人参,淫羊藿
TCMF9628,气血两虚，头晕目眩，面色苍白，四肢无力。,黄芪，党参，麦芽，制何首乌，女贞子，骨碎补，佛手,鸡血藤
TCMF11006,感冒发热，头痛鼻塞，咳嗽痰多，胸闷呕恶。,紫苏叶，葛根，桔梗，麦冬，茯苓，党参，桑白皮，姜半夏，陈皮，甘草，枳壳,前胡
TCMF4566,"腰痛, 阳痿, 遗精, 腹痛",补骨脂，核桃仁，肉苁蓉，杜仲，乳香，没药,巴戟天
TCMF11268,肝硬化，肝脾肿大，肝区疼痛，脘腹胀满，食欲不振。,黑豆，三棱，莪术，郁金，半边莲，白术，红花，茵陈，虎杖，大黄，制何首乌，海藻，白芍，木瓜，桃仁，柴胡，当归，香附，熟地黄,昆布
TCMF7982,急慢性肾炎，水肿，尿路感染，尿血，蛋白尿。,黄芪，车前子，茯苓，半枝莲，黄芩，丹参，益母草，白茅根，芦根，茜草，山楂，蒲黄，牵牛子，土鳖虫,黄精
TCMF11853,肝肾不足，腰膝酸软，头晕目眩，须发早白。,黄芪，白芍，枸杞子，当归，龙眼肉，牛膝,何首乌
TCMF8667,肝肾不足，腰膝酸软，头晕目眩，高血压。,葛根，杜仲，何首乌，鹿衔草，钩藤，莱菔子，骨碎补，三七,熟地黄
TCMF7322,肺气虚弱，咳嗽气短，神疲乏力，面色苍白。,人参，黄芪，白术，茯苓，炙甘草，五味子，麦冬，熟地黄，当归,川芎
TCMFx4921,"感冒, 痄腮",羌活，白芷，荆芥穗，防风，淡豆豉，川芎，薄荷，赤芍，葛根，金银花，连翘，牛蒡子，蓼大青叶，黄芩，淡竹叶，天花粉，柴胡，玄参，甘草，水牛角，牛黄，冰片,桔梗
TCMFx5206,"耳聋, 遗精, 盗汗",人参，鹿茸，补骨脂，巴戟天，当归，杜仲，牛膝，茯苓，菟丝子，黄芪，五味子，黄柏，香附，冬虫夏草,龙眼肉
TCMF9185,肾阳不足，腰膝酸软，畏寒肢冷，性功能减退。,补骨脂，巴戟天，锁阳，淫羊藿，熟地黄，山茱萸，枸杞子，菟丝子，五味子,鹿茸
TCMF7396,头痛，偏头痛，风湿痹痛。,川芎，白芍，熟地黄，羌活，独活，防风，细辛，甘草,当归
TCMFx791,"偏枯, 痹病",川乌，红花，血竭，乳香，没药，土鳖虫，全蝎，川牛膝，桂枝，人参,地龙
TCMF7616,气血两虚，面色萎黄，头晕目眩，心悸失眠，月经不调。,当归，熟地黄，党参，黄芪，茯苓，白术，甘草,白芍
TCMF7651,泌尿系结石，症见腰腹疼痛，排尿困难，尿血等。,黄芪，党参，白术，金钱草，海金沙，鸡内金，石韦，瞿麦，滑石，甘草,茯苓
TCMF11626,脾胃虚弱，食少便溏，气短乏力，肢倦懒言。,黄芪，党参，白术，苍术，葛根，白芍，当归，刺五加，升麻，柴胡，五味子，陈皮,炙甘草
TCMF218,月经过多,党参，白术，茯苓，甘草，当归，川芎，熟地黄,白芍
TCMF11815,慢性肾炎，蛋白尿，血尿，腰膝酸软，神疲乏力。,黄芪，党参，白术，益母草，紫苏叶，墨旱莲，女贞子，金樱子，菟丝子，山药，莲子，蝉蜕,茯苓
TCMF12250,风湿痹痛，筋骨疼痛，腰腿酸痛，肢体麻木。,巴豆，草乌，川乌，红花，桃仁，当归，马钱子，独活，防风，羌活，芥子，天南星，肉桂，冰片，土鳖虫，乌梢蛇,麻黄
TCMF7643,高血压病，头晕目眩，腰膝酸软，头痛失眠。,杜仲，夏枯草，钩藤，牛膝，桑寄生，地龙，丹参，川芎，红花,木香
TCMF11627,风湿痹痛，筋骨疼痛，肢体麻木，腰膝酸软。,蕲蛇，羌活，红花，当归，香加皮，防风,秦艽
TCMF7261,用于火热内盛，咽喉肿痛，牙龈肿痛，口舌生疮，目赤肿痛。,人工牛黄，石膏，大黄，雄黄，冰片，桔梗，甘草,黄芩
TCMF11504,脾胃虚弱，食积停滞，脘腹胀满，消化不良。,广藿香，木香，砂仁，草果，陈皮，青皮，枳壳，大黄，厚朴，山楂，莱菔子，麦芽，甘草,苍术
TCMF11692,痈疽发背，对口疮，搭手，无名肿毒，一切疮疡肿痛。,蓖麻子，没药，乳香，紫花地丁，蒲公英，冰片，血余炭，轻粉,黄柏
TCMF12479,皮肤出现带状疱疹，灼热疼痛，口苦咽干，心烦易怒，尿黄便秘,苦参，蜂胶，灯盏细辛,牡丹皮
TCMF9305,痰热咳嗽，痰多黄稠，胸膈痞闷，甚则气急呕恶。,黄芩，茯苓，生姜，苦杏仁，半夏，陈皮，枳实,胆南星
TCMF6418,"腹泻, 痢疾",地锦草，秦皮，地榆,黄芩
TCMF10985,脾胃虚弱，食少便溏，脘腹胀满，肢倦乏力。,党参，白术，山药，莲子，芡实，白扁豆，薏苡仁，砂仁，陈皮，枳壳，炙甘草,茯苓
TCMFx4856,"头痛, 眩晕, 耳鸣, 不寐",杜仲，野菊花，杜仲叶，川芎,天麻
TCMF9458,风湿痹痛，跌打损伤，瘀血肿痛。,乳香，血竭，麝香,没药
TCMFx4329,"急惊风, 癫痫, 疟疾",大黄，桔梗，细辛，常山，天麻，地龙，白附子，羌活，薄荷，防风，枳壳，冰片，巴豆霜，猪牙皂，僵蚕，全蝎，胆南星，朱砂，麝香,麻黄
TCMF10838,肾阳不足，腰膝酸软，畏寒肢冷，阳痿早泄，尿频遗尿。,杜仲，制何首乌，肉苁蓉，鸡血藤，仙茅，淫羊藿，泽泻，桂枝，甘草，蜈蚣,菟丝子
TCMF3392,咳嗽,石膏，麻黄，桔梗，苦杏仁，前胡，半夏，黄芩，款冬花，葶苈子，橘红，桑白皮，紫苏子，甘草,白果
TCMF8561,先兆流产，习惯性流产，肾虚型不孕症。,杜仲，续断，菟丝子，白术，山药，熟地黄，枸杞子，白芍，五味子，牡蛎，阿胶,巴戟天
TCMF11736,风寒湿痹，肢体麻木，关节疼痛。,荆芥，防风，威灵仙，独活，羌活，制草乌，制川乌，香附，土鳖虫，乌梢蛇，地龙,桂枝
TCMFx3781,"月经失调, 眩晕, 崩漏, 血劳, 不孕",当归，白术，熟地黄，川芎，白芍，香附，益母草，黄芪，杜仲，麦冬，阿胶，甘草，陈皮，茯苓，砂仁,艾叶
TCMF5504,感冒,天花粉，葛根，白芷，桔梗，连翘，玄参，大青叶，柴胡，羌活，川芎，赤芍，防风，黄芩，牛蒡子，淡竹叶,甘草
TCMFx3477,"早泄, 遗精",熟地黄，山茱萸，枸杞子，五味子，覆盆子，石菖蒲，楮实子，山药，金樱子，茯苓，小茴香，杜仲，巴戟天，肉苁蓉，远志，菟丝子，甘草,牛膝
TCMF8334,肝肾不足，腰膝酸软，头晕目眩，神疲乏力。,熟地黄，淫羊藿，巴戟天，菟丝子，鹿角胶，龟甲胶，狗脊，杜仲，续断，牛膝，党参，白术，茯苓，甘草,枸杞子
TCMF9840,咳嗽，痰多，气喘。,甘草，桔梗，五味子，苦杏仁，远志,冰片
TCMF11673,头晕目眩，痰多咳嗽，胸闷不舒，头痛,安息香，黄芩，麦冬，葛根，槐花，丹参，郁金，黄芪，白术，茯苓，决明子，天麻，赤芍，沉香，桑寄生，香附,川芎
TCMF9428,乳癖，乳痈，乳腺增生,夏枯草，甘草，丝瓜络，山慈菇，赤芍，柴胡，当归，香附，青皮,郁金
TCMF7535,绝经前后诸症,淫羊藿，仙茅，知母，黄柏，牡蛎，车前子,金樱子
TCMF9464,湿热下注，淋证，尿频尿急，尿道涩痛，腰痛。,侧柏叶，蒲公英，千里光，川木通，大血藤，白芷，柴胡,皂角刺
TCMF9699,中风，半身不遂，口眼歪斜，言语不利，瘫痿不用，手足拘挛，肢体麻木。,细辛，三七，西洋参，人工牛黄，全蝎，蜈蚣，朱砂，珍珠,人参
TCMF9470,风湿痹痛，筋骨疼痛，跌打损伤。,马钱子，白芷，川芎，当归，防风，羌活，胆南星，冰片,花椒
TCMF8695,冠心病，心绞痛，心肌梗死，高脂血症,红花，三七，泽泻,丹参
TCMFx611,"乳癖结节, 乳痈初起, 乳腺囊性增生病及乳腺炎前期",鹿角，蒲公英，昆布，鸡血藤，三七，赤芍，海藻，漏芦，木香，玄参，牡丹皮，夏枯草，连翘，红花,天花粉
TCMF11559,风湿痹痛，跌打损伤，筋骨疼痛，腰腿酸痛。,乳香，木鳖子，红花，大黄，马钱子，草乌，赤芍，川乌，附子，金银花，白芷，黄柏，肉桂，血竭，冰片，乌梢蛇,没药
TCMF8365,癥瘕积聚，痛经，闭经，产后瘀血腹痛。,益母草，紫苏子，姜黄，苏木，没药，乳香，三棱，莪术，艾叶，红花，大黄，白芍，两头尖，苦杏仁，桃仁，阿魏，川芎，小茴香，香附,当归
TCMF10481,肝肾阴虚，血瘀阻络所致的胁痛、眩晕、腰膝酸软、乏力等。,黄精，麦冬，泽兰，黄芪，川楝子，何首乌，白芍，五味子，女贞子，北沙参，当归，橘红，牡蛎,丹参
TCMF8647,咳嗽痰多，气喘，胸闷，呼吸困难。,百部，川贝母，薤白，浙贝母，黄芩，紫苏子，茯苓，党参，桔梗，款冬花，旋覆花，紫菀，白前，麻黄，马兜铃，细辛，白芍，五味子,生姜
TCMF11508,湿热瘀阻所致的带下病、月经不调、痛经、慢性盆腔炎等。,蒲公英，牡丹皮，桃仁，忍冬藤，枳实，白芍，甘草,柴胡
TCMF11959,脾肾两虚，气血不足，腰膝酸软，神疲乏力，头晕耳鸣，失眠多梦。,人参，黄芪，党参，白术，茯苓，甘草，熟地黄，当归，白芍，川芎，杜仲，鹿茸，枸杞子，山药，丹参，砂仁，远志，肉桂,陈皮
TCMF7818,月经不调，痛经，带下，产后恶露不绝。,川贝母，黄芪，茯苓，当归，干姜，艾叶，青蒿，白芍，黄连，牡丹皮，地骨皮，柴胡，香附，牛膝，延胡索,熟地黄
TCMF6414,"腹胀, 水肿",车前子，菟丝子，苘麻子，甘草，肉桂，大枣，化橘红，葶苈子,楮实子
TCMF8710,咳嗽痰多，气喘胸闷，痰稠色黄，不易咳出。,麦冬，浙贝母，紫苏子，苦杏仁，瓜蒌皮，茯苓，陈皮，化橘红，桔梗，款冬花，紫菀，甘草，石膏,法半夏
TCMF8150,子宫肌瘤，月经不调，痛经，带下过多。,半枝莲，三棱，全蝎，党参，山药,甘草
TCMF8667,肝肾不足，腰膝酸软，头晕目眩，高血压。,葛根，何首乌，鹿衔草，钩藤，莱菔子，骨碎补，三七，熟地黄,杜仲
TCMF11302,痰湿阻滞，咳嗽痰多，胸闷不舒，口渴咽干。,半夏，橘红，茯苓，竹茹，天花粉，知母，苦杏仁，桔梗，甘草,枳壳
TCMF8179,骨折，筋骨损伤，瘀血肿痛,三七，骨碎补，续断，自然铜，蜂蜜,没药
TCMFx5725,"虚劳, 月经失调, 痛经",当归，熟地黄，茯苓，甘草，党参，黄芪，川芎,白芍
TCMF7619,疮疡肿毒，丹毒，蜂窝组织炎，急性淋巴结炎等。,金银花，连翘，蒲公英，天花粉，赤芍，当归，甘草,紫花地丁
TCMF8546,高热惊厥，头痛眩晕，中风痰厥，小儿急惊风。,薄荷，麻黄，天麻，钩藤，防风，羌活，胆南星，天竺黄，陈皮，茯苓，牛黄，全蝎，僵蚕，珍珠，麝香，冰片，甘草,朱砂
TCMF7937,气血两虚，头晕目眩，心悸失眠，食欲不振。,黄芪，阿胶,大枣
TCMFx268,感冒,金银花，牛蒡子，蒲公英，黄芩，防风，紫苏叶，荆芥穗，葛根，人工牛黄,连翘
TCMF8116,感冒发热，头痛，咳嗽，鼻塞流涕。,薄荷，麻黄，黄芩，金银花，紫苏叶，菊花，前胡，桑叶，桔梗，石膏，甘草,苦杏仁
TCMF11416,风湿痹痛，筋骨痿软，腰膝酸软，四肢麻木。,五加皮，党参，白术，茯苓，麦冬，玉竹，豆蔻，砂仁，姜黄，红花，菊花，木香，檀香，丁香，肉豆蔻，木瓜，陈皮,牛膝
TCMF7468,慢性肝炎，肝硬化，肝功能异常。,白术，茯苓，丹参，赤芍，柴胡，郁金，茵陈，板蓝根，甘草,黄芪
TCMF12478,头痛眩晕，目赤肿痛，牙龈红肿，口舌生疮，大便干燥，小便短赤,黄连，石膏，甘草，黄芩，大黄，赤芍，栀子，连翘，当归，川芎，薄荷，荆芥，菊花，玄参，桔梗,天花粉
TCMF8278,肝肾不足，腰膝酸软，头晕耳鸣，遗精早泄。,杜仲，熟地黄，山药，肉苁蓉，巴戟天，山茱萸，牛膝，石菖蒲，小茴香,茯苓
TCMF5073,"感冒, 风温",桑叶，菊花，连翘，苦杏仁，桔梗，芦根，甘草,薄荷
TCMFx3345,"哮病, 喘病, 肺心病, 肺胀",白果，苦杏仁，地龙，桑白皮，陈皮，白前，苦参，甘草，茯苓,黄芩
TCMF9875,心悸失眠，健忘多梦，心烦口渴，大便干燥。,麦冬，天冬，柏子仁，酸枣仁，当归，丹参，党参，茯苓，远志，石菖蒲，朱砂，五味子，桔梗，甘草,玄参
TCMF8723,带下病，阴痒，阴蚀，症见带下量多，色黄质稠，气味秽臭，阴部瘙痒，或有灼热感。,土木香，蛇床子，花椒，冰片,白芷
TCMF10566,阴痒，带下量多，皮肤瘙痒，湿疹。,苦参，花椒，黄柏，白矾,蛇床子
TCMF11156,痛经，月经不调，产后瘀血腹痛，消化不良。,益母草，乳香，没药，三棱，川芎，党参，白术，茯苓，苍术，木香，大黄，白芍，地榆，桃仁，当归，羌活，香附，山楂,木瓜
TCMF7314,疝气,小茴香，吴茱萸，川楝子，陈皮，荔枝核，橘核，肉桂，延胡索，甘草,木香
TCMF341,胸痹,丹参，川芎，红花，赤芍，槐花，三七,降香
TCMF8679,泌尿系结石，尿路感染，小便不利，腰痛。,车前子，夏枯草，茯苓，海金沙，萹蓄，赤芍，巴戟天，桃仁，当归，淫羊藿，广金钱草，鸡内金，滑石,黄芪
TCMF8284,肾阳不足，腰膝酸软，畏寒肢冷，头晕耳鸣。,海龙，黄芪，白芍，枸杞子，川芎，当归，陈皮，肉桂，甘草,肉苁蓉
TCMF6063,眩晕,泽泻，白术，茯苓，半夏，女贞子，墨旱莲，菊花，牛膝，甘草,陈皮
TCMFx753,"腹胀, 腹痛",黄芪，甘草，白芍，桂枝，生姜,大枣
TCMF12102,风湿痹痛，腰膝酸软，筋骨无力，肢体麻木。,益母草，黄芪，巴戟天，白薇，赤芍，当归，伸筋草，淫羊藿,石菖蒲
TCMF3619,胸痹,野菊花，川芎，延胡索，珍珠母，茯苓，桂枝，首乌藤，牛膝，降香，半夏，大枣，甘草，柴胡，冰片,三七
TCMF9590,胸闷心痛，心悸气短，中风痰厥，中暑吐泻，寒闭神昏。,苏合香，安息香，冰片，乳香，木香，沉香，香附，白术,丁香
